customer_id,customer_name,location_id,join_date
1,Customer 1,6,2021-02-13 23:58:15
2,Customer 2,5,2021-09-11 09:40:09
3,Customer 3,2,2019-01-03 07:19:42
4,Customer 4,6,2019-01-11 03:04:15
5,Customer 5,3,2018-10-11 06:07:19
6,Customer 6,4,2021-05-22 05:48:14
7,Customer 7,3,2018-01-18 04:47:14
8,Customer 8,1,2021-06-07 14:56:52
9,Customer 9,6,2020-11-08 06:48:37
10,Customer 10,1,2020-10-17 12:10:46
11,Customer 11,2,2022-01-27 14:45:37
12,Customer 12,2,2022-05-13 18:28:28
13,Customer 13,2,2022-07-31 23:48:48
14,Customer 14,1,2023-07-09 01:23:20
15,Customer 15,1,2022-10-17 08:18:08
16,Customer 16,5,2021-02-07 18:38:14
17,Customer 17,6,2020-12-13 19:34:22
18,Customer 18,1,2019-06-01 04:50:36
19,Customer 19,2,2021-08-06 02:37:52
20,Customer 20,4,2018-11-01 16:57:31
21,Customer 21,6,2023-08-02 09:46:35
22,Customer 22,5,2023-01-25 15:31:34
23,Customer 23,5,2018-09-20 05:11:50
24,Customer 24,4,2018-09-14 10:57:48
25,Customer 25,3,2022-04-29 11:35:45
26,Customer 26,2,2018-07-12 01:59:08
27,Customer 27,6,2020-12-05 03:26:45
28,Customer 28,5,2021-12-11 17:17:39
29,Customer 29,1,2022-05-16 02:17:51
30,Customer 30,5,2020-07-05 18:03:08
31,Customer 31,1,2023-07-12 08:31:45
32,Customer 32,5,2022-08-23 18:20:01
33,Customer 33,5,2019-04-02 02:23:44
34,Customer 34,1,2022-01-09 23:55:23
35,Customer 35,3,2022-05-19 20:53:52
36,Customer 36,1,2020-01-01 16:00:02
37,Customer 37,4,2022-06-05 17:26:17
38,Customer 38,6,2023-05-22 10:08:44
39,Customer 39,1,2022-11-25 11:31:36
40,Customer 40,3,2022-07-28 22:41:22
41,Customer 41,6,2021-10-21 13:11:07
42,Customer 42,2,2019-08-16 11:18:59
43,Customer 43,1,2022-10-08 12:55:05
44,Customer 44,3,2020-03-08 13:55:56
45,Customer 45,4,2021-03-11 12:15:53
46,Customer 46,4,2019-11-20 14:57:55
47,Customer 47,2,2019-11-17 12:10:38
48,Customer 48,6,2018-12-12 04:04:05
49,Customer 49,4,2023-10-07 05:48:21
